ticker,country,complete,completion_pct,missing
COIN,US,non,60,ir_page_snapshot|home_page_snapshot
COO,US,OUI,100,
COP,US,OUI,100,
COR,US,non,80,ir_page_snapshot
COST,US,non,80,ir_page_snapshot
CPAY,US,non,80,ir_page_snapshot
CPB,US,non,80,ir_page_snapshot
CPRT,US,non,80,ir_page_snapshot
CPT,US,OUI,100,
CRH,FPI,OUI,100,
CRL,US,non,60,ir_page_snapshot|home_page_snapshot
CRM,US,OUI,100,
CRWD,US,non,80,ir_page_snapshot
CRWV,US,non,80,ir_page_snapshot
CS.PA,EU,OUI,100,
CSCO,US,non,80,ir_page_snapshot
CSGP,US,non,60,ir_page_snapshot|home_page_snapshot
CSX,US,non,60,ir_page_snapshot|home_page_snapshot
CTAS,US,OUI,100,
CTRA,US,non,80,ir_page_snapshot
CTSH,US,OUI,100,
CTVA,US,non,80,ir_page_snapshot
CVNA,US,non,60,ir_page_snapshot|home_page_snapshot
CVS,US,non,80,ir_page_snapshot
CVX,US,OUI,100,
CW,US,OUI,100,
D,US,non,80,ir_page_snapshot
DAL,US,OUI,100,
DANSKE.CO,EU,OUI,100,
DASH,US,non,60,ir_page_snapshot|home_page_snapshot
DD,US,non,80,ir_page_snapshot
DDOG,US,non,80,ir_page_snapshot
DE,US,non,80,ir_page_snapshot
DECK,US,non,80,ir_page_snapshot
DELL,US,OUI,100,
DG,US,non,60,ir_page_snapshot|home_page_snapshot
DG.PA,EU,OUI,100,
DGE.L,UK,OUI,100,
DGX,US,OUI,100,
DHI,US,OUI,100,
DHR,US,non,80,ir_page_snapshot
DIM.PA,EU,non,67,ir_page_snapshot
DINO,US,non,80,ir_page_snapshot
DIS,US,OUI,100,
DKS,US,non,60,ir_page_snapshot|home_page_snapshot
DLR,US,non,80,ir_page_snapshot
DLTR,US,OUI,100,
DOC,US,non,80,ir_page_snapshot
DOV,US,non,60,ir_page_snapshot|home_page_snapshot
DOW,US,non,60,ir_page_snapshot|home_page_snapshot
DPZ,US,OUI,100,
