URD	FY2021	2022-04-01	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-04/Airbus%20SE%20Universal%20Registration%20Document%202021.pdf
URD	FY2022	2023-04-01	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-04/Airbus%20Universal%20Registration%20Document%202022_0.pdf
URD	FY2023	2024-03-27	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-03/Airbus-Universal-Registration-Document-2023.pdf
CP	FY2021	2022-02-17	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-02/EN-Press-Release-Airbus-FY2021-Results.pdf
CP	HY2021	2021-07-29	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-02/Press-Release-Airbus-H1-2021-Results.pdf
CP	FY2022	2023-02-16	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-02/Airbus%20FY%202022%20Results%20Press%20Release.pdf
CP	HY2022	2022-07-27	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-07/EN-Press-Release-Airbus-H1-2022-Results.pdf
CP	FY2023	2024-02-15	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-02/EN-Press-Release-Airbus-FY2023-Results.pdf
CP	HY2023	2023-07-26	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-07/EN-Press-Release-Airbus-H12023-Results.pdf
CP	FY2024	2025-02-20	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-02/EN-Press-Release-Airbus-FY2024-Results%20%282%29.pdf
CP	HY2024	2024-07-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-07/en-press-release-airbus-h12024-results-653298.pdf
CP	FY2025	2026-02-19	https://www.airbus.com/sites/g/files/jlcbta136/files/2026-02/press-release-airbus-fy2025-results_hm0612.pdf
CP	HY2025	2025-07-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-07/en-press-release-airbus-h12025-results.pdf
TRIM	Q1-2021	2021-04-29	https://www.airbus.com/sites/g/files/jlcbta136/files/2021-07/Airbus-Q1-2021-Results.pdf
TRIM	T3-2021	2021-10-28	https://www.airbus.com/sites/g/files/jlcbta136/files/2021-10/Press-Release-Airbus-9m-2021-Results.pdf
TRIM	Q1-2022	2022-05-04	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-05/EN-Press-Release-Airbus%20Q1%202022%20Results.pdf
TRIM	T3-2022	2022-10-28	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-01/en-press-release-airbus-9m2022-results_0.pdf
TRIM	Q1-2023	2023-05-03	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-05/en-press-release-airbus-q12023-results.pdf
TRIM	T3-2023	2023-11-08	https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/EN-Press-Release-Airbus-9m2023-Results-rp3p5a.pdf
TRIM	Q1-2024	2024-04-25	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-02/Airbus%20Q1%202024%20Press%20Release.pdf
TRIM	T3-2024	2024-10-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2024-10/en-press-release-airbus-9m2024-895623784512-results.pdf
TRIM	Q1-2025	2025-04-30	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/en-press-release-airbus-q12025-results-08f16d.pdf
TRIM	T3-2025	2025-10-29	https://www.airbus.com/sites/g/files/jlcbta136/files/2025-10/en-press-release-airbus-9m2025-results.pdf
RFS	HY2021	2021-10-01	https://www.airbus.com/sites/g/files/jlcbta136/files/2021-10/Airbus-SN-H1-2021.pdf
RFS	HY2022	2022-07-27	https://www.airbus.com/sites/g/files/jlcbta136/files/2022-07/Airbus%20SN%20H1%202022.pdf
